id,OVD_t1,OVD_t2,OVD_t3,OVD_sum,pay_normal,prod_code,prod_limit,new_balance,highest_balance,label,fea_1,fea_2,fea_3,fea_4,fea_5,fea_6,fea_7,fea_8,fea_9,fea_10,fea_11,update_year,update_month,update_day,report_year,report_month,report_day
58987402,0,0,0,0,1,10,16500.0,0.0,219202.72592781534,0,5,1241.0,3,62000.0,2,15,9,95,4,60023,1.0,2016,12,4,2013,6,17
58995151,0,0,0,0,1,5,85789.7012195122,588720.0,491100.0,1,7,1286.1657435613404,2,126000.0,2,11,9,115,4,450028,224.2676972,2016,12,4,2013,6,17
58997200,0,0,0,0,2,5,85789.7012195122,840000.0,700500.0,0,7,1376.0,1,150000.0,2,11,-1,110,4,60000,219.2487172,2016,12,4,2016,4,22
54988608,0,0,0,0,3,10,37400.0,8425.2,7520.0,0,7,1214.0,3,60000.0,2,11,9,108,4,151300,158.11388300000002,2016,12,3,2016,4,25
54987763,0,0,0,0,2,10,85789.7012195122,15147.6,219202.72592781534,0,7,1232.0,1,96000.0,2,11,9,88,5,151300,233.520877,2016,12,3,2016,4,26
59004828,0,0,0,0,3,10,88000.0,3196.8,6193.0,0,4,1274.0,1,132000.0,2,8,5,107,3,60016,202.4845673,2016,12,2,2016,4,15
58994429,0,0,0,0,2,10,16500.0,3252.0,3210.0,1,7,1295.0,3,73000.0,2,11,5,100,5,350076,223.6067977,2016,12,2,2013,6,17
54987756,0,0,0,0,2,1,85789.7012195122,365331.6,304943.0,0,7,1258.0,3,144000.0,2,11,5,114,3,60028,1.0,2016,12,2,2013,6,17
58988028,0,0,0,0,4,0,85789.7012195122,16795.2,28500.0,0,5,1288.0,1,126000.0,2,15,5,107,3,350071,316.22776600000003,2016,12,2,2016,4,19
58993180,0,0,0,0,3,6,85789.7012195122,26688.0,31300.0,0,7,1286.0,1,110000.0,2,11,5,112,5,60033,1.0,2016,12,2,2016,3,20
58996551,0,0,0,0,4,10,85789.7012195122,7957.2,9411.0,0,7,1308.0,1,442000.0,2,11,9,106,4,151011,1.0,2016,12,2,2016,4,20
54991742,0,0,0,0,4,6,85789.7012195122,60572.4,65401.0,0,4,1246.0,3,50000.0,2,8,5,88,3,340017,300.0,2016,12,2,2016,4,19
58991324,0,0,0,0,1,5,85789.7012195122,118800.0,99500.0,0,7,1246.0,3,58000.0,2,11,5,101,5,60058,200.0,2016,12,2,2013,6,17
58993672,0,0,0,0,3,10,16500.0,3487.2,3406.0,0,7,1415.0,3,155000.0,2,11,5,107,3,60005,212.1320344,2016,12,1,2016,2,15
59004333,0,0,0,0,4,10,85789.7012195122,39613.2,219202.72592781534,0,4,1300.0,1,157000.0,2,8,5,113,3,151300,158.11388300000002,2016,12,1,2016,4,30
54991294,0,0,0,0,1,0,85789.7012195122,2617.2,2681.0,0,4,1256.0,3,101000.0,2,8,9,110,5,60084,1.0,2016,11,4,2013,6,17
58997200,0,0,0,0,1,5,85789.7012195122,365629.2,310500.0,0,7,1376.0,1,150000.0,2,11,-1,110,4,60000,219.2487172,2016,11,4,2016,1,5
54987489,0,0,0,0,1,10,85789.7012195122,0.0,219202.72592781534,1,7,1307.0,1,182000.0,2,11,-1,101,5,350052,200.0,2016,11,4,2013,6,17
54991492,0,0,0,0,1,0,85789.7012195122,28156.8,35700.0,1,4,1256.0,1,120000.0,2,8,5,99,4,151000,173.20508080000002,2016,11,4,2013,6,17
59005881,0,0,0,0,2,13,85789.7012195122,44400.0,37500.0,1,4,1286.1657435613404,2,94000.0,2,8,-1,113,4,72000,1.0,2016,11,4,2013,6,17
